C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img000_RT001.jpg*[[612, 827], [464, 684], [1044, 587], [915, 405]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img001_RT001.jpg*[[612, 826], [466, 685], [1044, 586], [915, 406]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img002_RT001.jpg*[[612, 827], [461, 683], [1043, 585], [916, 404]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img003_RT001.jpg*[[613, 828], [465, 683], [1044, 587], [914, 404]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img004_RT001.jpg*[[613, 829], [465, 684], [1043, 586], [914, 404]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img005_RT001.jpg*[[612, 828], [465, 686], [1045, 585], [914, 403]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img006_RT001.jpg*[[613, 828], [464, 685], [1044, 583], [912, 403]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img007_RT001.jpg*[[614, 828], [465, 688], [1044, 585], [912, 403]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img009_RT001.jpg*[[613, 830], [465, 689], [1044, 584], [910, 402]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img010_RT001.jpg*[[616, 830], [462, 687], [1044, 582], [910, 402]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img011_RT001.jpg*[[616, 831], [459, 690], [1044, 584], [911, 403]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img012_RT001.jpg*[[616, 831], [465, 690], [1045, 582], [910, 403]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img013_RT001.jpg*[[616, 832], [466, 692], [1044, 580], [910, 401]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img014_RT001.jpg*[[616, 834], [461, 691], [1044, 580], [908, 399]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img015_RT001.jpg*[[618, 832], [465, 693], [1045, 580], [908, 400]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img016_RT001.jpg*[[619, 838], [464, 695], [1045, 580], [907, 400]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img017_RT001.jpg*[[619, 836], [466, 693], [1045, 579], [906, 399]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img018_RT001.jpg*[[620, 836], [464, 694], [1046, 578], [904, 400]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img019_RT001.jpg*[[620, 838], [465, 695], [1045, 577], [905, 401]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img020_RT001.jpg*[[621, 837], [465, 697], [1045, 577], [904, 399]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img021_RT001.jpg*[[623, 838], [464, 698], [1044, 575], [902, 398]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img022_RT001.jpg*[[622, 841], [463, 700], [1046, 576], [902, 399]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img023_RT001.jpg*[[625, 841], [464, 699], [1045, 574], [901, 397]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img024_RT001.jpg*[[626, 840], [464, 703], [1046, 573], [900, 397]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img025_RT001.jpg*[[626, 841], [464, 703], [1045, 572], [898, 397]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img026_RT001.jpg*[[626, 841], [468, 704], [1046, 572], [898, 396]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img027_RT001.jpg*[[630, 841], [466, 704], [1046, 571], [896, 396]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img028_RT001.jpg*[[629, 840], [466, 705], [1045, 567], [895, 396]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img029_RT001.jpg*[[631, 842], [466, 708], [1046, 569], [894, 395]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img030_RT001.jpg*[[631, 844], [465, 709], [1046, 566], [893, 393]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img031_RT001.jpg*[[632, 842], [466, 713], [1047, 566], [891, 394]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img032_RT001.jpg*[[633, 847], [467, 710], [1046, 565], [891, 393]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img033_RT001.jpg*[[636, 843], [469, 712], [1045, 564], [889, 393]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img034_RT001.jpg*[[637, 845], [468, 713], [1046, 561], [886, 392]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img035_RT001.jpg*[[639, 846], [467, 712], [1046, 561], [886, 392]]
C:/Users/zhaoy/Desktop/AI4Space/stream-2-test/RT001/img036_RT001.jpg*[[640, 845], [469, 715], [1046, 560], [884, 391]]
